Code,Description,How to Use,Amount ($CAD),
A003,General assessment,Used for full assessments when time and complexity justify; less common in ER vs. H-codes,$77.20 ,
A004,Medical specific assessment,"For focused systems assessments (e.g., cardiovascular); may be used if H-codes don't apply",$43.10 ,
A007,Intermediate assessment,Used if not eligible for H-codes and problem requires intermediate evaluation,$36.85 ,
A001,Minor assessment,"Brief encounter, often used for quick reviews or follow-ups in non-ER",$24.90 ,
A008,Mini assessment,A mini assessment is rendered when an assessment of a patient for an unrelated non-WSIB problem is performed during the same visit as an assessment of a WSIB related problem for which only a minor assessment was rendered.,$13.05 ,
A004,General re-assessment,Can be used for general reassessments,$38.35 ,
,,,,
,,,,
A888,Special visit premium – Emergency Department,Billed in addition to an assessment when called in to ER,"$20.65 (weekday), $41.15 (weekend)",
A901,Certification of death,Used when pronouncing death in ER or elsewhere,$20.00 ,
,,,,
H101,Minor assessment,Mon-Fri 0800-1700,$15.00 ,
H103,Multiple systems assessment - High-acuity patients requiring extensive work-up,Mon-Fri 0800-1700,$35.65 ,
H102,Comprehensive assessment - Default for most ER patients requiring moderate evaluation,Mon-Fri 0800-1700,$37.20 ,
H104,Reassess (every 2 hours) assessment - Reassessment within the same shift,Mon-Fri 0800-1700,$15.00 ,
,,,,
H131,Minor assessment,Mon-Fri 1700-0000,$18.70 ,
H133,Multiple systems assessment - High-acuity patients requiring extensive work-up,Mon-Fri 1700-0000,$42.40 ,
H132,Comprehensive assessment - Default for most ER patients requiring moderate evaluation,Mon-Fri 1700-0000,$46.30 ,
H134,Reassess (every 2 hours) assessment - Reassessment within the same shift,Mon-Fri 1700-0000,$18.70 ,
,,,,
H151,Minor assessment,Weekend and Holiday,$25.50 ,
H153,Multiple systems assessment - High-acuity patients requiring extensive work-up,Weekend and Holiday,$56.40 ,
H152,Comprehensive assessment - Default for most ER patients requiring moderate evaluation,Weekend and Holiday,$63.30 ,
H154,Reassess (every 2 hours) assessment - Reassessment within the same shift,Weekend and Holiday,$25.50 ,
,,,,
H151,Minor assessment,Night,$29.80 ,
H153,Multiple systems assessment - High-acuity patients requiring extensive work-up,Night,$65.95 ,
H152,Comprehensive assessment - Default for most ER patients requiring moderate evaluation,Night,$73.90 ,
H154,Reassess (every 2 hours) assessment - Reassessment within the same shift,Night,$29.80 ,
,,,,
H105,Special pediatric emergency assessment,"Children under 2 years old, if full work-up is done",$101.90 ,
H107,Obstetrical emergency assessment,ER assessment for obstetric complaint,$88.95 ,
H109,Mental health emergency assessment,For psych evaluations requiring added time,$88.95 ,
H110,Emergency department consultation,Requires referral and documented consultation,$105.00 ,
,,,,
B100A,First Telemedicine Patient Encounter premium,Bill for the first telemedicine patient encounter,$35.00 ,
,,,,
